iter	Logloss
0	0.5255034513
1	0.4374940114
2	0.3810207729
3	0.3567557727
4	0.3439362613
5	0.3354808084
6	0.3306208892
7	0.3274781666
8	0.3257247434
9	0.3239107722
10	0.3203684158
11	0.3190909724
12	0.3185364939
13	0.317981861
14	0.3175593833
15	0.3172564678
16	0.3169749856
17	0.3168192818
18	0.3166388894
19	0.3162276337
20	0.3160930222
21	0.3159031136
22	0.3157743064
23	0.3156779845
24	0.3155491269
25	0.3151729134
26	0.3150511285
27	0.3146169385
28	0.3145536387
29	0.314471422
30	0.3143813437
31	0.3142703586
32	0.314208741
33	0.3140970883
34	0.314011633
35	0.3139293768
36	0.313847295
37	0.3136988049
38	0.3136129091
39	0.3134855256
40	0.3133982822
41	0.3132658597
42	0.313159258
43	0.313074174
44	0.31297984
45	0.3128764536
46	0.312793737
47	0.3126596261
48	0.3125826575
49	0.312499518
50	0.312425729
51	0.3123473243
52	0.3123062096
53	0.312157187
54	0.3120654461
55	0.3120016873
56	0.3119153732
57	0.3118067859
58	0.3117134485
59	0.3115968214
60	0.3113224098
61	0.3112172997
62	0.3111163702
63	0.310957218
64	0.3108720173
65	0.3108157918
66	0.3107076391
67	0.3106060053
68	0.3104878501
69	0.3103395636
70	0.3102724094
71	0.3101503589
72	0.3100418839
73	0.3099161745
74	0.3098383941
75	0.3097045413
76	0.3096197915
77	0.3095520603
78	0.3094735432
79	0.3093177086
80	0.3092119382
81	0.309078284
82	0.3089906639
83	0.3088924142
84	0.3087639128
85	0.3086962321
86	0.3086179617
87	0.308472149
88	0.3083690387
89	0.308269584
90	0.3081693187
91	0.3080646514
92	0.3079870346
93	0.3078689624
94	0.307722729
95	0.3074462356
96	0.3073303166
97	0.3072197167
98	0.3071165748
99	0.3070205193
100	0.3069011734
101	0.3068076678
102	0.306706166
103	0.3066088025
104	0.306481782
105	0.3063616256
106	0.3062315163
107	0.3061359439
108	0.3060314771
109	0.3059088875
110	0.3057888558
111	0.3056634556
112	0.3055556009
113	0.3054147994
114	0.3053187997
115	0.3052157307
116	0.305097492
117	0.3050104271
118	0.3049404347
119	0.3048654787
120	0.3047692793
121	0.3046898954
122	0.3046093671
123	0.3044927068
124	0.3043915492
125	0.3042819673
126	0.3041676991
127	0.3040727654
128	0.3039380811
129	0.3038525778
130	0.3037598693
131	0.3036229635
132	0.3035316348
133	0.3034428286
134	0.3033206768
135	0.3032055623
136	0.3031437104
137	0.3030443821
138	0.3029672015
139	0.3028693602
140	0.3028138072
141	0.3027020173
142	0.3026152397
143	0.3025057484
144	0.3023745295
145	0.3022679401
146	0.3021567612
147	0.3020032236
148	0.3019059665
149	0.3018132238
150	0.3017236525
151	0.3016316656
152	0.3015336821
153	0.3014013383
154	0.3013090314
155	0.3012078847
156	0.3010849369
157	0.3009714407
158	0.3008289817
159	0.3007517535
160	0.3006777774
161	0.3005696407
162	0.300462234
163	0.3003992563
164	0.3002799223
165	0.3001906938
166	0.3000995218
167	0.3000236858
168	0.299929092
169	0.2998150295
170	0.2996784606
171	0.2995848187
172	0.2994869515
173	0.2993627863
174	0.2992947057
175	0.2991770246
176	0.2990742823
177	0.2989504929
178	0.2988082286
179	0.2986793056
180	0.2985305102
181	0.2984293608
182	0.2983307779
183	0.2981734061
184	0.2980788507
185	0.2979668526
186	0.2978406378
187	0.2977685517
188	0.2976457281
189	0.2975563677
190	0.2974634499
191	0.2973589863
192	0.2972435587
193	0.2971648737
194	0.2970435552
195	0.2969690319
196	0.2968732344
197	0.2968011461
198	0.296685678
199	0.2966121899
200	0.2965134598
201	0.2964039331
202	0.2963163863
203	0.2961881635
204	0.2960660276
205	0.2959696605
206	0.2958704446
207	0.2958007801
208	0.2956912197
209	0.2956131425
210	0.2955103791
211	0.2954257515
212	0.2953344143
213	0.29526645
214	0.2951109963
215	0.2950062919
216	0.2949156711
217	0.2948385933
218	0.2947675225
219	0.2946819258
220	0.2945907509
221	0.2944678218
222	0.2943548496
223	0.2942282555
224	0.2941317681
225	0.2940372112
226	0.2939815455
227	0.293898294
228	0.2937946071
229	0.2935806802
230	0.2934631713
231	0.2934048624
232	0.2932816409
233	0.2931746563
234	0.293079371
235	0.293023556
236	0.2929450914
237	0.2928511163
238	0.2927671244
239	0.2926825076
240	0.2925702939
241	0.2924991603
242	0.2923631184
243	0.2922661155
244	0.2921751862
245	0.2920685971
246	0.2919953893
247	0.291895538
248	0.2918036022
249	0.2917191379
250	0.2916249477
251	0.2915555766
252	0.2914427332
253	0.2913573042
254	0.2912667159
255	0.2911539792
256	0.2911031475
257	0.2909934616
258	0.2909188073
259	0.2908969503
260	0.2908150018
261	0.2907302107
262	0.2906293988
263	0.2905336008
264	0.2904365151
265	0.2903501419
266	0.2902468741
267	0.2901484704
268	0.2900835093
269	0.2900537492
270	0.2899679095
271	0.2898895068
272	0.2897709386
273	0.2896684557
274	0.289589229
275	0.2894859291
276	0.2894161158
277	0.2893352783
278	0.2892429565
279	0.2890974533
280	0.2890129263
281	0.2888999722
282	0.2888121037
283	0.2887389132
284	0.2886254269
285	0.2885368444
286	0.2884312343
287	0.2883204466
288	0.2881974336
289	0.2881130659
290	0.2880557548
291	0.2879825438
292	0.2879039596
293	0.287830618
294	0.2877812568
295	0.2877064401
296	0.2876255169
297	0.2875385059
298	0.287436922
299	0.2873895677
300	0.2873409631
301	0.287256571
302	0.2871845608
303	0.2870698301
304	0.2869862555
305	0.2869076352
306	0.2868458313
307	0.2867436722
308	0.2866448876
309	0.2865520977
310	0.2864858432
311	0.2863469668
312	0.2862653843
313	0.2862108051
314	0.2861158839
315	0.2860521678
316	0.2859405308
317	0.2858106953
318	0.2857275349
319	0.2856646754
320	0.2855956977
321	0.2855411174
322	0.2854625211
323	0.2853496696
324	0.285298108
325	0.2851911534
326	0.2851171981
327	0.2850014903
328	0.2848968915
329	0.2848181834
330	0.2847278562
331	0.2846043295
332	0.2844918392
333	0.2843519609
334	0.284291883
335	0.2842076983
336	0.2841464164
337	0.2840980629
338	0.2840266585
339	0.2839511994
340	0.2838530145
341	0.2838090471
342	0.2837340064
343	0.2836264337
344	0.2835401401
345	0.2834408504
346	0.2833631376
347	0.2832702923
348	0.2831813531
349	0.2830729674
350	0.2829812452
351	0.2828476007
352	0.2827643259
353	0.2826710376
354	0.282616888
355	0.2825310226
356	0.2824438603
357	0.2823980141
358	0.2823495013
359	0.282242234
360	0.2821991027
361	0.282123821
362	0.2820273604
363	0.2819607655
364	0.2819076104
365	0.2817733112
366	0.2816947553
367	0.2816179304
368	0.2815106698
369	0.2814279105
370	0.2813313512
371	0.2812633544
372	0.2811762146
373	0.2810543923
374	0.2809809108
375	0.2808661501
376	0.2808065297
377	0.2806951632
378	0.2806189153
379	0.2805341633
380	0.2804531337
381	0.2803509566
382	0.280250477
383	0.2802067644
384	0.2801493346
385	0.2800860204
386	0.2799999526
387	0.2799216049
388	0.2798417012
389	0.2797520033
390	0.279667047
391	0.2796088483
392	0.2795402047
393	0.2794719253
394	0.2793829602
395	0.2792488596
396	0.279171694
397	0.2790728838
398	0.2789681483
399	0.278901867
400	0.2788358083
401	0.2787570642
402	0.2786644477
403	0.2785950175
404	0.2785259195
405	0.2784385494
406	0.2783546099
407	0.2782691361
408	0.2781825594
409	0.278093041
410	0.278004438
411	0.2779214278
412	0.2778176946
413	0.2777586723
414	0.2776780978
415	0.2775954899
416	0.2775307967
417	0.2774519972
418	0.2774052728
419	0.2773330967
420	0.2773038944
421	0.2772191552
422	0.2771431483
423	0.2770921846
424	0.2769946082
425	0.2769209954
426	0.2768298317
427	0.2767569962
428	0.2766188473
429	0.2765081201
430	0.2764228619
431	0.2763422309
432	0.276270903
433	0.2762004631
434	0.276124022
435	0.2760296067
436	0.2759487184
437	0.2758967249
438	0.2758249724
439	0.2757182268
440	0.275628896
441	0.275540789
442	0.2754284508
443	0.2753272854
444	0.2752600925
445	0.2752146638
446	0.275173072
447	0.2750779132
448	0.2750233688
449	0.2749301893
450	0.2748494741
451	0.2748043557
452	0.2747477005
453	0.2746797431
