iter	Passed	Remaining
0	333	333049
1	578	288655
2	810	269352
3	1017	253321
4	1229	244688
5	1459	241773
6	1682	238675
7	1898	235407
8	2117	233145
9	2313	229065
10	2531	227562
11	2735	225260
12	2946	223724
13	3146	221578
14	3375	221673
15	3558	218878
16	3769	217989
17	3959	216002
18	4201	216939
19	4414	216298
20	4642	216406
21	4870	216507
22	5036	213934
23	5242	213190
24	5441	212229
25	5713	214047
26	5942	214166
27	6185	214740
28	6390	213969
29	6589	213070
30	6793	212358
31	7061	213616
32	7270	213061
33	7491	212834
34	7695	212170
35	7911	211854
36	8094	210668
37	8326	210780
38	8473	208798
39	8650	207613
40	8843	206845
41	9105	207690
42	9346	208020
43	9563	207795
44	9777	207504
45	9979	206958
46	10212	207070
47	10434	206942
48	10655	206801
49	10892	206963
50	11073	206046
51	11235	204833
52	11380	203347
53	11575	202780
54	11747	201836
55	11882	200300
56	12102	200214
57	12389	201227
58	12632	201472
59	12863	201535
60	13121	201979
61	13324	201589
62	13467	200295
63	13632	199372
64	13782	198261
65	13900	196715
66	14049	195646
67	14192	194524
68	14360	193761
69	14524	192971
70	14636	191505
71	14789	190625
72	14932	189620
73	15088	188807
74	15237	187930
75	15413	187401
76	15614	187176
77	15804	186814
78	16017	186734
79	16196	186261
80	16383	185876
81	16568	185491
82	16724	184776
83	16888	184170
84	17076	183819
85	17254	183375
86	17438	183006
87	17626	182677
88	17792	182123
89	17948	181475
90	18099	180791
91	18254	180161
92	18391	179366
93	18543	178728
94	18714	178281
95	18902	177994
96	19060	177437
97	19202	176744
98	19349	176096
99	19497	175474
100	19656	174961
101	19821	174508
102	19982	174020
103	20178	173848
104	20367	173606
105	20544	173275
106	20746	173146
107	20950	173039
108	21137	172780
109	21304	172372
110	21507	172255
111	21786	172736
112	22087	173379
113	22306	173366
114	22489	173071
115	22659	172684
116	22863	172550
117	22999	171914
118	23159	171455
119	23328	171074
120	23547	171058
121	23721	170719
122	23889	170336
123	24043	169859
124	24189	169323
125	24342	168851
126	24495	168380
127	24657	167981
128	24827	167632
129	24997	167291
130	25176	167009
131	25382	166911
132	25566	166659
133	25715	166188
134	25900	165958
135	26061	165569
136	26186	164953
137	26350	164595
138	26491	164096
139	26652	163724
140	26830	163456
141	27052	163455
142	27219	163125
143	27386	162799
144	27569	162564
145	27759	162375
146	27950	162190
147	28149	162048
148	28326	161783
149	28512	161571
150	28711	161433
151	28890	161178
152	29057	160860
153	29205	160437
154	29380	160171
155	29562	159940
156	29747	159725
157	29944	159576
158	30119	159310
159	30281	158976
160	30476	158819
161	30667	158635
162	30834	158336
163	30969	157871
164	31131	157541
165	31290	157207
166	31503	157140
167	31726	157122
168	31925	156984
169	32127	156855
170	32352	156841
171	32540	156648
172	32720	156413
173	32919	156273
174	33082	155960
175	33232	155586
176	33378	155199
177	33537	154875
178	33689	154518
179	33845	154183
180	34005	153868
181	34174	153595
182	34326	153251
183	34497	152988
184	34651	152654
185	34852	152526
186	35103	152613
187	35258	152286
188	35415	151970
189	35566	151624
190	35760	151468
191	36016	151570
192	36250	151576
193	36472	151530
194	36723	151601
195	36964	151630
196	37185	151574
197	37384	151427
198	37603	151356
199	37814	151259
200	38056	151277
201	38295	151284
202	38485	151096
203	38733	151135
204	38967	151118
205	39149	150897
206	39355	150769
207	39570	150672
208	39788	150587
209	40004	150491
210	40208	150354
211	40417	150230
212	40659	150231
213	40881	150154
214	41156	150269
215	41322	149986
216	41497	149735
217	41643	149380
218	41773	148971
219	41934	148676
220	42088	148358
221	42339	148379
222	42583	148373
223	42818	148333
224	43025	148200
225	43221	148024
226	43402	147798
227	43593	147605
228	43765	147350
229	43925	147053
230	44076	146731
231	44233	146427
232	44481	146424
233	44736	146443
234	44964	146372
235	45181	146266
236	45392	146136
237	45596	145985
238	45746	145662
239	45908	145377
240	46129	145278
241	46270	144930
242	46448	144697
243	46632	144485
244	46797	144212
245	46967	143955
246	47125	143665
247	47293	143404
248	47453	143123
249	47611	142835
250	47769	142546
251	47937	142289
252	48141	142141
253	48286	141818
254	48522	141762
255	48763	141718
256	48944	141501
257	49162	141388
258	49380	141278
259	49554	141040
260	49790	140978
261	49970	140757
262	50128	140473
263	50276	140163
264	50433	139882
265	50607	139645
266	50782	139413
267	50934	139120
268	51090	138837
269	51223	138493
270	51409	138293
271	51575	138039
272	51743	137792
273	51945	137635
274	52122	137413
275	52301	137197
276	52454	136910
277	52629	136685
278	52774	136382
279	52939	136130
280	53083	135826
281	53252	135586
282	53405	135307
283	53555	135020
284	53705	134735
285	53866	134478
286	54037	134246
287	54200	133995
288	54345	133700
289	54498	133427
290	54653	133159
291	54798	132868
292	54948	132589
293	55098	132311
294	55229	131989
295	55369	131689
296	55509	131391
297	55661	131121
298	55819	130867
299	55945	130539
300	56085	130244
301	56238	129982
302	56389	129715
303	56551	129473
304	56693	129186
305	56873	128986
306	57075	128839
307	57255	128639
308	57413	128390
309	57576	128153
310	57763	127970
311	57996	127889
312	58187	127715
313	58329	127433
314	58492	127198
315	58635	126920
316	58797	126682
317	58959	126447
318	59129	126230
319	59267	125943
320	59405	125658
321	59541	125369
322	59689	125108
323	59857	124887
324	59996	124609
325	60161	124383
326	60324	124153
327	60525	124003
328	60809	124020
329	61046	123942
330	61289	123874
331	61556	123854
332	61801	123789
333	61976	123582
334	62127	123327
335	62371	123257
336	62584	123127
337	62782	122964
338	62946	122736
339	63086	122462
340	63251	122237
341	63460	122095
342	63691	121997
343	63932	121917
344	64232	121948
345	64498	121913
346	64724	121801
347	64937	121663
348	65159	121544
349	65350	121365
350	65552	121206
351	65758	121055
352	65925	120832
353	66110	120642
354	66284	120432
355	66485	120272
356	66678	120096
357	66826	119840
358	66985	119602
359	67331	119700
360	67533	119539
361	67745	119396
362	67911	119172
363	68120	119023
364	68292	118809
365	68507	118671
366	68725	118538
367	68899	118326
368	69094	118153
369	69269	117945
370	69430	117713
371	69582	117466
372	69728	117210
373	69912	117018
374	70094	116824
375	70253	116591
376	70394	116329
377	70546	116084
378	70685	115819
379	70844	115588
380	71006	115362
381	71158	115121
382	71323	114899
383	71441	114603
384	71571	114328
385	71712	114071
386	71873	113846
387	72036	113624
388	72195	113396
389	72348	113161
390	72494	112913
391	72634	112656
392	72781	112413
393	72929	112170
394	73084	111939
395	73237	111705
396	73395	111479
397	73558	111262
398	73710	111027
399	73863	110795
400	74005	110547
401	74163	110323
402	74316	110092
403	74457	109843
404	74604	109604
405	74749	109363
406	74892	109118
407	75042	108885
408	75192	108652
